FOG	HOG	Protein ID	sce Locus	Features	Protein description	Parent	Neofunc, Subfunct	References	Source	Suggested Analysis	SGD Description	PomBase Description	AspGD Description
FOG00017	HOG00014	RPL14	RPL14A;RPL14B		RPL14 Large ribosome protein subunit						Ribosomal 60S subunit protein L14A; N-terminally acetylated; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14A has a paralog, RPL14B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L14B; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14B has a paralog, RPL14A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	60S ribosomal protein L14 (predicted)	Ortholog(s) have RNA binding activity and cell surface, cytosolic large ribosomal subunit, hyphal cell wall, nucleus, preribosome, large subunit precursor localization
FOG00018	HOG00015	RPL15	RPL15A;RPL15B		RPL15 Large ribosome protein subunit						Ribosomal 60S subunit protein L15A; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15, no bacterial homolog; RPL15A has a paralog, RPL15B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L15B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15, no bacterial homolog; RPL15B has a paralog, RPL15A, that arose from the whole genome duplication; relocalizes from nucleus to nucleolus upon DNA replication stress	60S ribosomal protein L15 (predicted)|60S ribosomal protein L15b (predicted)	Ortholog(s) have RNA binding, structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit, nucleolus localization
FOG00019	HOG00016	RPL16A	RPL16A		RPL16A Large ribosome protein subunit						Ribosomal 60S subunit protein L16A; N-terminally acetylated, binds 5.8 S rRNA; transcriptionally regulated by Rap1p; homologous to mammalian ribosomal protein L13A and bacterial L13; RPL16A has a paralog, RPL16B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	60S ribosomal protein L13/L16 (predicted)	Ortholog(s) have RNA binding activity
FOG00020	HOG00016	RPL16B	RPL16B		RPL16B Large ribosome protein subunit	ohnolog:FOG00019					Ribosomal 60S subunit protein L16B; N-terminally acetylated, binds 5.8 S rRNA; transcriptionally regulated by Rap1p; homologous to mammalian ribosomal protein L13A and bacterial L13; RPL16B has a paralog, RPL16A, that arose from the whole genome duplication		
FOG00021	HOG00017	RPL17	RPL17A;RPL17B		RPL17 Large ribosome protein subunit						Ribosomal 60S subunit protein L17A; copurifies with the Dam1 complex (aka DASH complex); homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17A has a paralog, RPL17B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress|Ribosomal 60S subunit protein L17B; homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17B has a paralog, RPL17A, that arose from the whole genome duplication	60S ribosomal protein L17|60S ribosomal protein L17 (predicted)	Ortholog(s) have structural constituent of ribosome activity, role in cellular response to drug, cytoplasmic translation and cell surface, cytosolic large ribosomal subunit, extracellular region localization
FOG00022	HOG00017	GOR1	GOR1		Glyoxylate reductase	paralog?:FOG00021	Neofunctionalization?			Multiple sequence alignment shows this ortholog is poorly aligned to RL17 sequence. Could be an ancient paralog or spurious homolog assignment.	Glyoxylate reductase; null mutation results in increased biomass after diauxic shift; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress	glyoxylate reductase (predicted)	Ortholog(s) have extracellular region localization|Ortholog(s) have cytosol, nucleus localization|Has domain(s) with predicted NAD binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor activity and role in oxidation-reduction process
FOG00023	HOG00017				Uncharacterized protein similar to RPL17	paralog:FOG00022	Uncharacterized			Check for convergent evolution between dha and wan, or presence of a xenolog			
FOG00024	HOG00017				Uncharacterized protein similar to RPL17	paralog:FOG00022	Uncharacterized		added via ODB8			glyoxylate reductase (predicted)	
FOG00025	HOG00018	RPL18	RPL18A;RPL18B		RPL18 Large ribosome protein subunit						Ribosomal 60S subunit protein L18A; intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18A has a paralog, RPL18B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L18B; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18B has a paralog, RPL18A, that arose from the whole genome duplication	60S ribosomal protein L18|60S ribosomal protein L18 (predicted)	
FOG00026	HOG00018	LEU5	LEU5		CoA transporter from [c] to [m]; synthetic lethality with sce|LEU4	paralog:FOG00025	Neofunctionalization				Mitochondrial carrier protein; involved in the accumulation of CoA in the mitochondrial matrix; homolog of human Graves disease protein SLC25A16, which complements yeast null mutant; does not encode an isozyme of Leu4p, as first hypothesized	mitochondrial coenzyme A transmembrane transporter (predicted)	Ortholog(s) have coenzyme A transmembrane transporter activity, role in coenzyme A transport and mitochondrial inner membrane localization
FOG00027	HOG00018				pap and aps transport from [c] to [m]	paralog:FOG00026	Neofunctionalization				Mitochondrial transporter; major substrates are adenosine 5'-phosphosulfate (APS) and 3'-phospho-adenosine 5'-phosphosulfate (PAPS); member of the mitochondrial carrier family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	3'-phosphoadenosine 5'-phosphosulfate/ 5'-adenylyl sulfate transmembrane transporter (predicted)	
FOG00028	HOG00019	RPL19	RPL19A;RPL19B		RPL19 Large ribosome protein subunit						Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19A has a paralog, RPL19B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19B has a paralog, RPL19A, that arose from the whole genome duplication	60S ribosomal protein L19	Ortholog(s) have cell surface, cytosolic large ribosomal subunit, preribosome, large subunit precursor localization
FOG00029	HOG00019	GCN1	GCN1		Positive regulator of the Gcn2p kinase activity					Likely a suprious homolog or an ancient duplication; Few conserved motifs in multiple sequence alignment; ortholog has insertions relative to apparent ancestral protein	Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA	translation elongation regulator Gcn1 (predicted)	Ortholog(s) have role in regulation of translational elongation and cytosolic ribosome, extracellular region, mitochondrion localization
FOG00030	HOG00020	RPL20	RPL20A;RPL20B		RPL20 Large ribosome protein subunit						Ribosomal 60S subunit protein L20A; homologous to mammalian ribosomal protein L18A, no bacterial homolog; RPL20A has a paralog, RPL20B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L20B; homologous to mammalian ribosomal protein L18A, no bacterial homolog; RPL20B has a paralog, RPL20A, that arose from the whole genome duplication	60S ribosomal protein L20 (predicted)|60S ribosomal protein L20a (predicted)	Ortholog(s) have cell surface, cytosolic large ribosomal subunit, nucleolus localization
FOG00031	HOG00021	RPL21	RPL21A;RPL21B		RPL21 Large ribosome protein subunit						Ribosomal 60S subunit protein L21A; homologous to mammalian ribosomal protein L21, no bacterial homolog; RPL21A has a paralog, RPL21B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L21B; homologous to mammalian ribosomal protein L21, no bacterial homolog; RPL21B has a paralog, RPL21A, that arose from the whole genome duplication	60S ribosomal protein L21 (predicted)	Ortholog(s) have cytosolic large ribosomal subunit localization
FOG00032	HOG00021				Uncharacterized protein similar to RPL21	paralog:FOG00031	Uncharacterized		added via ODB8				
FOG00033	HOG00022	RPL22	RPL22A;RPL22B		RPL22 Large ribosome protein subunit						Ribosomal 60S subunit protein L22A; required for the oxidative stress response in yeast; homologous to mammalian ribosomal protein L22, no bacterial homolog; RPL22A has a paralog, RPL22B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L22B; homologous to mammalian ribosomal protein L22, no bacterial homolog; RPL22B has a paralog, RPL22A, that arose from the whole genome duplication	60S ribosomal protein L22 (predicted)	Ortholog(s) have cytosol, nucleolus localization
FOG00034	HOG00023	RPL23	RPL23A;RPL23B		RPL23 Large ribosome protein subunit						Ribosomal 60S subunit protein L23A; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23A has a paralog, RPL23B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L23B; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23B has a paralog, RPL23A, that arose from the whole genome duplication	60S ribosomal protein L23	Ortholog(s) have cytosolic large ribosomal subunit, hyphal cell wall, mitochondrion, nucleus localization
FOG00035	HOG00023	RM38	MRPL38		RM38 Mitochondrial large ribosome protein subunit	paralog?:FOG00034	Neofunctionalization			Multiple sequence alignment reveals insertion (80) in mitochondrial ortholog, and loss of N-terminal sequence in cytoplasmic subunit leading to [m] localization	Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels; protein abundance increases in response to DNA replication stress	mitochondrial ribosomal protein subunit L38 (predicted)	Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization
FOG00036	HOG00024	RPL24	RPL24A;RPL24B		RPL24 Large ribosome protein subunit						Ribosomal 60S subunit protein L24A; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24, no bacterial homolog; RPL24A has a paralog, RPL24B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L24B; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24, no bacterial homolog; RPL24B has a paralog, RPL24A, that arose from the whole genome duplication	60S ribosomal protein L24 (predicted)	Ortholog(s) have RNA binding activity and cytosolic large ribosomal subunit localization
FOG00037	HOG00024	RLP24	RLP24		Essential protein required for ribosomal large subunit biogenesis	paralog:FOG00036	Neofunctionalization				Essential protein required for ribosomal large subunit biogenesis; associated with pre-60S ribosomal subunits; stimulates the ATPase activity of Afg2p, which is required for release of Rlp24p from the pre-60S particle; has similarity to Rpl24Ap and Rpl24Bp	ribosomal L24-like protein involved in ribosome biogenesis Rlp24 (predicted)	Ortholog(s) have ATPase activator activity, role in assembly of large subunit precursor of preribosome, cellular response to drug, ribosomal large subunit biogenesis and nucleolus, preribosome, large subunit precursor localization
FOG00038	HOG00024				Uncharacterized ohnolog or paralog	ohnolog?:FOG00037	Uncharacterized		added via ODB8				
FOG00039	HOG00025	RPL25	RPL25		RPL25 Large ribosome protein subunit						Ribosomal 60S subunit protein L25; primary rRNA-binding ribosomal protein component of large ribosomal subunit; binds to 25S rRNA via a conserved C-terminal motif; homologous to mammalian ribosomal protein L23A and bacterial L23	60S ribosomal protein L25 (predicted)	Ortholog(s) have RNA binding activity, role in ribosomal large subunit assembly and cytosolic large ribosomal subunit localization
FOG00040	HOG00026	RPL26	RPL26A;RPL26B		RPL26 Large ribosome protein subunit						Ribosomal 60S subunit protein L26A; binds to 5.8S rRNA; non-essential even when paralog is also deleted; deletion has minimal affections on ribosome biosynthesis; homologous to mammalian ribosomal protein L26 and bacterial L24; RPL26A has a paralog, RPL26B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L26B; binds to 5.8S rRNA; non-essential even when paralog is also deleted; deletion has minimal affections on ribosome biosynthesis; homologous to mammalian ribosomal protein L26 and bacterial L24; RPL26B has a paralog, RPL26A, that arose from the whole genome duplication	60S ribosomal protein L26 (predicted)	Ortholog(s) have RNA binding, structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit, nucleolus, yeast-form cell wall localization
FOG00041	HOG00027	RPL27	RPL27A;RPL27B		RPL27 Large ribosome protein subunit						Ribosomal 60S subunit protein L27A; homologous to mammalian ribosomal protein L27, no bacterial homolog; RPL27A has a paralog, RPL27B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L27B; homologous to mammalian ribosomal protein L27, no bacterial homolog; RPL27B has a paralog, RPL27A, that arose from the whole genome duplication	60S ribosomal protein L27|60S ribosomal protein L27 (predicted)	Ortholog(s) have cytosolic large ribosomal subunit, nucleus, small-subunit processome localization
FOG00042	HOG00028	RPL28	RPL28		RPL28 Large ribosome protein subunit						Ribosomal 60S subunit protein L28; homologous to mammalian ribosomal protein L27A and bacterial L15; may have peptidyl transferase activity; can mutate to cycloheximide resistance	60S ribosomal protein L27/L28	Ortholog(s) have RNA binding activity and cytosolic large ribosomal subunit, mitochondrion, nucleus, preribosome, large subunit precursor localization
FOG00043	HOG00028	CHL1	CHL1		Probable DNA helicase					Likely a spurious homolog	Probable DNA helicase; involved in sister-chromatid cohesion and genome integrity and interstrand cross-link repair; interacts with ECO1 and CTF18; mutants are defective in silencing, rDNA recombination, aging and the heat shock response; FANCJ-like helicase family member; mutations in the human homolog, DDX11/ChLR1, cause Warsaw breakage syndrome	ATP-dependent DNA helicase Chl1 (predicted)	Ortholog(s) have cytosol, nucleus, site of double-strand break localization
FOG00044	HOG00029	RPL29	RPL29		RPL29 Large ribosome protein subunit						Ribosomal 60S subunit protein L29; not essential for translation, but required for proper joining of large and small ribosomal subunits and for normal translation rate; homologous to mammalian ribosomal protein L29, no bacterial homolog	60S ribosomal protein L29	Ortholog(s) have structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit, nucleolus localization
FOG00045	HOG00030	RPL30	RPL30		RPL30 Large ribosome protein subunit						Ribosomal 60S subunit protein L30; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript; homologous to mammalian ribosomal protein L30, no bacterial homolog	60S ribosomal protein L30 (predicted)	Cytoplasmic ribosomal protein of the large subunit L30
FOG00046	HOG00031	RPL31	RPL31A;RPL31B		RPL31 Large ribosome protein subunit						Ribosomal 60S subunit protein L31A; associates with karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality; homologous to mammalian ribosomal protein L31, no bacterial homolog; RPL31A has a paralog, RPL31B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L31B; associates with karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality; homologous to mammalian ribosomal protein L31, no bacterial homolog; RPL31B has a paralog, RPL31A, that arose from the whole genome duplication	60S ribosomal protein L31 (predicted)	Ortholog(s) have structural constituent of ribosome activity, role in cytoplasmic translation, regulation of translational fidelity and cytosolic large ribosomal subunit localization
FOG00047	HOG00033	RPL32	RPL32		RPL32 Large ribosome protein subunit						Ribosomal 60S subunit protein L32; overexpression disrupts telomeric silencing; homologous to mammalian ribosomal protein L32, no bacterial homolog	60S ribosomal protein L32|60S ribosomal protein L32 (predicted)	Ortholog(s) have structural constituent of ribosome activity, role in translation and cytosolic large ribosomal subunit, nucleus localization
FOG00048	HOG00034	RPL33	RPL33A;RPL33B		RPL33 Large ribosome protein subunit						Ribosomal 60S subunit protein L33A; N-terminally acetylated; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable; homologous to mammalian ribosomal protein L35A, no bacterial homolog; RPL33A has a paralog, RPL33B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L33B; rpl33b null mutant exhibits normal growth while rpl33a rpl33b double null mutant is inviable; homologous to mammalian ribosomal protein L35A, no bacterial homolog; RPL33B has a paralog, RPL33A, that arose from the whole genome duplication	60S ribosomal protein L35a|60S ribosomal protein L35a (predicted)	Ortholog(s) have structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit, nucleolus localization
FOG00049	HOG00035	RPL34	RPL34A;RPL34B		RPL34 Large ribosome protein subunit						Ribosomal 60S subunit protein L34A; homologous to mammalian ribosomal protein L34, no bacterial homolog; RPL34A has a paralog, RPL34B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L34B; homologous to mammalian ribosomal protein L34, no bacterial homolog; RPL34B has a paralog, RPL34A, that arose from the whole genome duplication	60S ribosomal protein L34	Ortholog(s) have role in ribosome biogenesis and cytosolic large ribosomal subunit, nucleolus, preribosome, large subunit precursor localization
FOG00050	HOG00035				Uncharacterized protein similar to RPL34	ohnolog?:FOG00049	Uncharacterized		added via ODB8				
FOG00051	HOG00036	RPL35	RPL35A;RPL35B		RPL35 Large ribosome protein subunit						Ribosomal 60S subunit protein L35A; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35A has a paralog, RPL35B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L35B; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35B has a paralog, RPL35A, that arose from the whole genome duplication	60S ribosomal protein L35	Ortholog(s) have role in maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) and cytosolic large ribosomal subunit, nucleolus, preribosome, large subunit precursor localization
FOG00052	HOG00037	RPL36	RPL36A;RPL36B		RPL36 Large ribosome protein subunit						Ribosomal 60S subunit protein L36A; N-terminally acetylated; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L36, no bacterial homolog; RPL36A has a paralog, RPL36B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L36B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L36, no bacterial homolog; RPL36B has a paralog, RPL36A, that arose from the whole genome duplication	60S ribosomal protein L36	Ortholog(s) have RNA binding, structural constituent of ribosome activity, role in cytoplasmic translation and cytosolic large ribosomal subunit localization
FOG00053	HOG00038	RPL37	RPL37A;RPL37B		RPL37 Large ribosome protein subunit						Ribosomal 60S subunit protein L37A; homologous to mammalian ribosomal protein L37, no bacterial homolog; RPL37A has a paralog, RPL37B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L37B; protein abundance increases in response to DNA replication stress; homologous to mammalian ribosomal protein L37, no bacterial homolog; RPL37B has a paralog, RPL37A, that arose from the whole genome duplication	60S ribosomal protein L37 (predicted)	Protein similar to cytoplasmic ribosomal protein of the large subunit L37.b
FOG00054	HOG00039	RPL38	RPL38		RPL38 Large ribosome protein subunit						Ribosomal 60S subunit protein L38; homologous to mammalian ribosomal protein L38, no bacterial homolog	60S ribosomal protein L38 (predicted)	Ortholog(s) have cytosolic large ribosomal subunit, hyphal cell wall, yeast-form cell wall localization
FOG00055	HOG00040	RPL39	RPL39		RPL39 Large ribosome protein subunit						Ribosomal 60S subunit protein L39; required for ribosome biogenesis; loss of both Rpl31p and Rpl39p confers lethality; also exhibits genetic interactions with SIS1 and PAB1; homologous to mammalian ribosomal protein L39, no bacterial homolog	60S ribosomal protein L39	
