FOG	HOG	Parent	rgm	sai	spo	ncr	tre	ang	lst	yli	arx	nfu	aru	pta	ppa	kcp	car	opm	dbx	pme	pku	bin	mbi	mgu	dha	pic	spa	wan	cut	hva	kla	lth	zro	sce	vpo
FOG00011	HOG00009		rgm|A0A194S1V1	sai|UPI000866AA73	spo|O74905;spo|Q10232	ncr|Q7SGA6	tre|G0RLY6	ang|A2QPY3	lst|A0A1E3QC42	yli|Q6C477	arx|A0A060T794;arx|A0A060TB80	nfu|A0A1E3PQ43;nfu|A0A1E3PRG0	aru|A0A1D2VAA1;aru|A0A1D2VQX8	pta|A0A1E4TXH4;pta|A0A1E4U2A2	ppa|C4QWI2;ppa|C4QWY6	kcp|W6MNG9;kcp|W6MX86	car|A0A1E4SVJ8;car|A0A1E4T1Z4	opm|W1Q9B3;opm|W1QDB7	dbx|Dekbr2_46668;dbx|Dekbr2_50599;dbx|Dekbr2_8598	pme|A0A1E3NID1	pku|A0A099NTY7	bin|A0A1E3QRF3;bin|A0A1E3QYB0	mbi|A0A1A0HI04	mgu|A5DHA7	dha|Q6BKY8	pic|A3LZW4	spa|G3ARR4	wan|A0A1E3NWH1;wan|A0A1E3P5Y3	cut|A0A1E4RUC8;cut|A0A1E4S8L1	hva|A0A1B7TB99;hva|A0A1B7TDP2	kla|Q6CLA6;kla|Q6CNX9	lth|C5DL19;lth|C5DMI5	zro|C5DP89;zro|C5DXV2	sce|P05738;sce|P51401	vpo|A7TLW6
FOG00012	HOG00010		rgm|A0A194S741	sai|UPI0008670EE1	spo|Q09127;spo|Q9P769	ncr|Q7S7F0	tre|G0RTA1	ang|A2QZG8	lst|A0A1E3QAR7	yli|Q6C986	arx|A0A060TBH4	nfu|A0A1E3PQE0	aru|A0A1D2VRZ0	pta|A0A1E4TXL1	ppa|C4R305	kcp|W6MXL0	car|A0A1E4T1S1	opm|W1QFM3	dbx|Dekbr2_44807	pme|A0A1E3NRE1	pku|A0A099P3F6	bin|A0A1E3QWY6	mbi|A0A1A0HB31	mgu|A5DD16	dha|Q6BVL2	pic|A3LR93	spa|G3AF76	wan|A0A1E3NVM7	cut|A0A1E4S0G5	hva|A0A1B7TF37	kla|Q6CRX7	lth|C5DNR0	zro|C5DX59	sce|P41805	vpo|A7TFN4
FOG00013	HOG00011		rgm|A0A194SDW6	sai|UPI0008680684	spo|P0CT77;spo|P0CT78	ncr|Q7RVN0	tre|G0RCQ5	ang|A2QI34	lst|A0A1E3Q717	yli|Q6CEJ8	arx|A0A060TDJ2	nfu|A0A1E3PMX3;nfu|A0A1E3PS99	aru|A0A1D2VR42	pta|A0A1E4U040	ppa|C4R8K3	kcp|W6MLJ0	car|A0A1E4SU39	opm|W1QDV3	dbx|Dekbr2_24484	pme|A0A1E3NKE9	pku|A0A099NUQ6	bin|A0A1E3QI76	mbi|A0A1A0HI42	mgu|A5DL39	dha|Q6BMZ1	pic|A3LVZ0	spa|G3AL75	wan|A0A1E3P2F5	cut|A0A1E4S771	hva|A0A1B7TDF7	kla|Q6CKT4	lth|C5DL81	zro|C5DUL1	sce|P0C0W9;sce|Q3E757	vpo|A7TKU4
FOG00014	HOG00012		rgm|A0A0P9F7I3	sai|UPI0008676E81	spo|P0CT83;spo|P0CT84	ncr|Q9C285	tre|G0RR73	ang|A2Q8L2	lst|A0A1E3PWI6	yli|Q6C955	arx|A0A060T5C8	nfu|A0A1E3PJ20;nfu|A0A1E3PSK6	aru|A0A1D2VC85	pta|A0A1E4TW05	ppa|C4QWD2	kcp|W6MG59	car|A0A1E4SY36	opm|W1QDY3	dbx|Dekbr2_18764	pme|A0A1E3NQE3	pku|A0A099P6N1	bin|A0A1E3QTL0	mbi|A0A1A0H7K9	mgu|A5DBK2	dha|Q6BRC2	pic|A3GHB0	spa|G3AQB0	wan|A0A1E3NYU0	cut|A0A1E4RVV4	hva|A0A1B7TJ21	kla|Q6CYA5	lth|C5DLU5	zro|C5DW71	sce|P0CX53;sce|P0CX54	vpo|A7TS96
FOG00015	HOG00012	ohnolog?:FOG00014																																	vpo|A7TRC7
FOG00016	HOG00013		rgm|A0A194SBD0	sai|UPI000867D437	spo|O74175	ncr|Q7S709		ang|A2R2D6	lst|A0A1E3QDI2	yli|Q6CEU6	arx|A0A060T711	nfu|A0A1E3PGN5;nfu|A0A1E3PRI5	aru|A0A1D2VR20	pta|A0A1E4U2C2	ppa|C4R7T7	kcp|W6MPC2	car|A0A1E4T1W8	opm|W1QDQ5	dbx|Dekbr2_65075	pme|A0A1E3NTH5	pku|A0A099P3K9	bin|A0A1E3QPP2	mbi|A0A1A0HA13	mgu|A5DN88	dha|Q6BSI8	pic|A3LX38	spa|G3AEY8	wan|A0A1E3P4K8;wan|A0A1E3PAM4	cut|A0A1E4RUV6;cut|A0A1E4S995	hva|A0A1B7TDK6	kla|F2Z5Y2	lth|C5E3R0	zro|C5DQ36	sce|P40212;sce|Q12690	vpo|A7TL98
FOG00017	HOG00014		rgm|A0A194S3H2	sai|UPI0008681CFE	spo|O94238	ncr|Q7SI18	tre|G0RQK9	ang|A2R4V0	lst|A0A1E3PW97	yli|Q6C7I6	arx|A0A060TAS0	nfu|A0A1E3PFU1;nfu|A0A1E3PGC9	aru|A0A1D2VDU6	pta|A0A1E4U1H5	ppa|C4R389	kcp|W6MF72	car|A0A1E4T8Y4	opm|W1QBJ8	dbx|Dekbr2_47944	pme|A0A1E3NK66	pku|A0A099NZG9	bin|A0A1E3QPT5		mgu|A5DK37	dha|Q6BPD4	pic|A3GHT8	spa|G3AN81	wan|A0A1E3NVZ4	cut|A0A1E4S3M6	hva|A0A1B7TJA3	kla|Q6CVB1	lth|C5DGL1	zro|C5DQL8	sce|P36105;sce|P38754	vpo|A7TLP7
FOG00018	HOG00015		rgm|A0A194SBT2	sai|UPI000866A8C3	spo|O74895;spo|Q9US22	ncr|Q8X034	tre|G0RLQ1	ang|A2Q887	lst|A0A1E3Q729	yli|Q6C7Y3	arx|A0A060TA69	nfu|A0A1E3PDS2;nfu|A0A1E3PH53	aru|A0A1D2VSA5	pta|A0A1E4U2N2	ppa|C4R1C9	kcp|W6MHV2	car|A0A1E4SYN7	opm|W1QAA6	dbx|Dekbr2_21828	pme|A0A1E3NN81	pku|A0A099P1R1	bin|A0A1E3QYP1	mbi|A0A1A0HKB1	mgu|A5DKL5	dha|Q6BLB0	pic|A3M095	spa|G3AHU6	wan|A0A1E3PC86	cut|A0A1E4RUG3	hva|A0A1B7TJ78	kla|Q6CJL7	lth|C5DI19	zro|C5DQ69	sce|P05748;sce|P54780	vpo|A7TKU1
FOG00019	HOG00016		rgm|A0A194S5G6	sai|UPI000867E38E	spo|O42848;spo|O42991;spo|O43004	ncr|Q9P720;ncr|V5ILK7	tre|G0RVS5	ang|A2RAN8	lst|A0A1E3Q8E0	yli|Q6CCI0	arx|A0A060T448		aru|A0A1D2VBZ7	pta|A0A1E4TMS3	ppa|C4R759	kcp|W6MI70	car|A0A1E4SWU7	opm|W1Q6W0	dbx|Dekbr2_63319	pme|A0A1E3NN96	pku|A0A099NUV7;pku|A0A099P7U3	bin|A0A1E3QMT1	mbi|A0A1A0HAV6	mgu|A5DK18	dha|Q6BY16	pic|A3GFB5	spa|G3AGV7	wan|A0A1E3PBL3	cut|A0A1E4S9Y1	hva|A0A1B7TBU1	kla|Q6CL98	lth|C5DMH7	zro|C5DP82	sce|P26784	vpo|A7THD6
FOG00020	HOG00016	ohnolog:FOG00019																																sce|P26785	
FOG00021	HOG00017		rgm|A0A0P9ISS2	sai|UPI000867B7AE	spo|O14339;spo|O59794	ncr|Q9HE25	tre|G0RR33	ang|A2QAR0	lst|A0A1E3QFP5	yli|Q6CBS7	arx|A0A060THM7	nfu|A0A1E3PT22	aru|A0A1D2VIR8	pta|A0A1E4TVA0	ppa|C4R2U4	kcp|W6MKZ2	car|A0A1E4SWX3	opm|W1Q9H3	dbx|Dekbr2_56783	pme|A0A1E3NFP5	pku|A0A099P6Y2	bin|A0A1E3QZQ2	mbi|A0A1A0HBW4	mgu|A5DDW4	dha|Q6BM53	pic|A3LU90	spa|G3AL02	wan|A0A1E3NWH2	cut|A0A1E4S9H1	hva|A0A1B7TIY9	kla|Q6CXQ6	lth|C5DKF7	zro|C5DTF2	sce|P05740;sce|P46990	vpo|A7TFI0
FOG00022	HOG00017	paralog?:FOG00021	rgm|A0A0P9FCM0;rgm|A0A194S484	sai|UPI0008671E4D	spo|O14075	ncr|Q7S9Y7	tre|G0RRE5	ang|A2Q988;ang|A2QU03;ang|A2QX18	lst|A0A1E3PUL3;lst|A0A1E3Q0M7;lst|A0A1E3Q7F1	yli|Q6C7U5;yli|Q6CDS0	arx|A0A060T1I7	nfu|A0A1E3PJZ8;nfu|A0A1E3PKC0;nfu|A0A1E3PKC6	aru|A0A1D2VH76	pta|A0A1E4TRH4	ppa|C4R8C8	kcp|W6MRQ6	car|A0A1E4SWD7;car|A0A1E4T0A5	opm|W1QDP2	dbx|Dekbr2_50263	pme|A0A1E3NFX1;pme|A0A1E3NI56	pku|A0A099NR67;pku|A0A099P731	bin|A0A1E3QNK2;bin|A0A1E3QYD3	mbi|A0A1A0HBV1	mgu|A5DKE0	dha|Q6BUL2	pic|A3LTW9	spa|G3AK63	wan|A0A1E3PBB1	cut|A0A1E4RTN1;cut|A0A1E4S9S1	hva|A0A1B7TA81	kla|Q6CUU6	lth|C5DK68	zro|C5DYZ1	sce|P53839	vpo|A7TF79
FOG00023	HOG00017	paralog:FOG00022											aru|A0A1D2VFW7;aru|A0A1D2VRC2												dha|Q6BTY7			wan|A0A1E3P4V9							
FOG00024	HOG00017	paralog:FOG00022			spo|O94574																								cut|A0A1E4S8I0						
FOG00025	HOG00018		rgm|A0A0P9ELN0	sai|UPI0008682552	spo|Q10192;spo|Q8TFH1	ncr|Q7RXJ4	tre|G0RBD0		lst|A0A1E3PWC7	yli|Q6CFA4	arx|A0A060TIS7	nfu|A0A1E3PNA2;nfu|A0A1E3PP58	aru|A0A1D2VA28	pta|A0A1E4TX15	ppa|C4QY71	kcp|W6MMT3	car|A0A1E4T0S4	opm|W1QHR6	dbx|Dekbr2_5502	pme|A0A1E3NK08	pku|A0A099NV09;pku|A0A099NWW3	bin|A0A1E3QHJ6	mbi|A0A1A0HHZ5		dha|Q6BL42	pic|A3LZT9	spa|G3AQ36	wan|A0A1E3P6S1	cut|A0A1E4RYI2	hva|A0A1B7TIB9	kla|Q6CXL8	lth|C5DBB3	zro|C5DSS0	sce|P0CX49;sce|P0CX50	vpo|A7TLD8
FOG00026	HOG00018	paralog:FOG00025	rgm|A0A194S756	sai|UPI000867C1C1	spo|O13805	ncr|Q7SA63	tre|G0R982	ang|A2QJZ5	lst|A0A1E3Q3J0	yli|Q6C1K5	arx|A0A060T957	nfu|A0A1E3PQA8	aru|A0A1D2VQ55	pta|A0A1E4TNK4	ppa|C4QVP1	kcp|W6MUD4	car|A0A1E4SUI4	opm|W1QJN1	dbx|Dekbr2_24177	pme|A0A1E3NMR4	pku|A0A099P2N2	bin|A0A1E3QJA2	mbi|A0A1A0HK65	mgu|A5DFP4	dha|Q6BYS7	pic|A3LMZ6	spa|G3AKA6	wan|A0A1E3P766	cut|A0A1E4S161	hva|A0A1B7TGB7	kla|Q6CMP3	lth|C5DGN0	zro|C5DQN9	sce|P38702	vpo|A7TS51
FOG00027	HOG00018	paralog:FOG00026	rgm|A0A194SF44	sai|UPI000866B39D	spo|Q8TFH2	ncr|Q7RXJ3	tre|G0RBD5		lst|A0A1E3PY47	yli|Q6C3A2	arx|A0A060SZU5	nfu|A0A1E3PGU8	aru|A0A1D2VMS0	pta|A0A1E4TNI8	ppa|C4R8K5	kcp|W6MK49	car|A0A1E4SU43	opm|W1QAG2	dbx|Dekbr2_173921	pme|A0A1E3NRP1		bin|A0A1E3QIQ5	mbi|A0A1A0HDA5	mgu|A5DKP7	dha|Q6BTS3	pic|A3LT62	spa|G3AM94	wan|A0A1E3NV00	cut|A0A1E4S5K2	hva|A0A1B7TGL9		lth|C5E2Y5	zro|C5E446	sce|Q12251	vpo|A7TIY4
FOG00028	HOG00019		rgm|A0A194SBL6	sai|UPI000867F0EE	spo|O42699;spo|P05734	ncr|Q7S5N9	tre|G0RPV4	ang|A2QKK6	lst|A0A1E3PVI2	yli|Q6C4N4	arx|A0A060TA60	nfu|A0A1E3PCH7;nfu|A0A1E3PJF7	aru|A0A1D2VLJ6	pta|A0A1E4TVM5	ppa|C4R3I6	kcp|W6MSP8	car|A0A1E4SZJ8	opm|W1QEG1	dbx|Dekbr2_166095	pme|A0A1E3NLP2	pku|A0A099P135	bin|A0A1E3QKQ3	mbi|A0A1A0H592	mgu|A5DM74	dha|B5RUS3	pic|A3GHI8	spa|G3AQR3	wan|A0A1E3P488	cut|A0A1E4RZ63	hva|A0A1B7TAB8	kla|Q6CNH9	lth|C5DIQ6	zro|C5E0I3	sce|P0CX82;sce|P0CX83	vpo|A7TL61
FOG00029	HOG00019		rgm|A0A194SCK0	sai|UPI0008671F4B	spo|Q10105	ncr|Q7S5P0	tre|G0RPV3	ang|A2QKK5	lst|A0A1E3QDU9	yli|Q6C8Q9	arx|A0A060T9P0	nfu|A0A1E3PFL9	aru|A0A1D2VAW9	pta|A0A1E4TZ05	ppa|C4R7J5	kcp|W6MFT4	car|A0A1E4SVD2	opm|W1QCW6	dbx|Dekbr2_45735	pme|A0A1E3NRJ2	pku|A0A099NP56;pku|A0A099P5K6	bin|A0A1E3QPA6	mbi|A0A1A0HEZ8	mgu|A5DNI8	dha|Q6BMQ6	pic|A3LYJ8	spa|G3ALT0	wan|A0A1E3P9J8	cut|A0A1E4S547	hva|A0A1B7TC72	kla|Q6CK97	lth|C5DHR1	zro|C5E1A6	sce|P33892	vpo|A7TNX9
FOG00030	HOG00020		rgm|A0A0P9F875	sai|UPI000867D4F4	spo|P0CT68;spo|P0CT69	ncr|V5IQT8;ncr|V5IRM4	tre|G0RKA8	ang|A2Q899	lst|A0A1E3PWM5	yli|Q6C0J5	arx|A0A060TB76	nfu|A0A1E3PFZ5	aru|A0A1D2VAD0	pta|A0A1E4U0I5	ppa|C4R3E7	kcp|W6MFE8	car|A0A1E4T2F4	opm|W1Q933	dbx|Dekbr2_25705	pme|A0A1E3NU34	pku|A0A099NV07;pku|A0A099NXZ8	bin|A0A1E3QV75	mbi|A0A1A0HFZ2		dha|Q6BJG2	pic|A3GGB0	spa|G3ASZ6	wan|A0A1E3P2K4	cut|A0A1E4RYN5	hva|A0A1B7T9S7	kla|Q6CKR6	lth|C5E3P9	zro|C5DYF3	sce|P0CX23;sce|P0CX24	vpo|A7TIF3
FOG00031	HOG00021		rgm|A0A0P9EEZ8	sai|UPI0008680C01	spo|O42706;spo|Q9UUC1	ncr|Q7SDY8	tre|G0RGJ8	ang|A2QFA5	lst|A0A1E3QBG7	yli|Q6C2S6	arx|A0A060TF16	nfu|A0A1E3PPL6	aru|A0A1D2VGG6	pta|A0A1E4TMP9	ppa|C4QYE9	kcp|W6MH79	car|A0A1E4T8A0	opm|W1Q9V7		pme|A0A1E3NFB9	pku|A0A099NZV1	bin|A0A1E3QK20	mbi|A0A1A0H5F5	mgu|A5DLI6	dha|Q6BUU5	pic|A3LRQ7;pic|A3LVV1	spa|G3ALH4	wan|A0A1E3NWT3;wan|A0A1E3P2H5	cut|A0A1E4S754	hva|A0A1B7TEL7	kla|Q6CM20	lth|C5DII6	zro|C5DP07	sce|Q02753;sce|Q12672	vpo|A7TGL8
FOG00032	HOG00021	paralog:FOG00031																						mgu|A5DK90											
FOG00033	HOG00022		rgm|A0A194S5W3	sai|UPI000867389F	spo|Q09668	ncr|Q1K6Z3	tre|G0RTB6	ang|A2QDS0	lst|A0A1E3PYC9	yli|B5FVG4	arx|A0A060T2T0	nfu|A0A1E3PDN4;nfu|A0A1E3PHP6	aru|A0A1D2VPN8	pta|A0A1E4U2Z7	ppa|C4R6P3	kcp|kcp_AYbRAH_00087	car|A0A1E4SV65	opm|W1QLB5			pku|A0A099P927	bin|A0A1E3QWZ5	mbi|A0A1A0HCX4	mgu|mgu_AYbRAH_00276	dha|Q6BX73	pic|A3LS82	spa|G3AE21	wan|A0A1E3PC82	cut|A0A1E4RTV1	hva|A0A1B7TA98	kla|Q6CRZ8	lth|C5DNP0	zro|C5DX82	sce|P05749;sce|P56628	vpo|A7TKK9
FOG00034	HOG00023		rgm|A0A194SFN8	sai|UPI0008671F4F	spo|P0CT60;spo|P0CT61	ncr|Q7SHJ9	tre|G0RKS2	ang|A5AAY5	lst|A0A1E3QE75	yli|Q6C9L1	arx|A0A060TFM7	nfu|A0A1E3PQT6	aru|A0A1D2VI75	pta|A0A1E4TN60	ppa|C4QVD0	kcp|W6MRF7	car|A0A1E4SYN6	opm|W1QGM0	dbx|Dekbr2_46060	pme|A0A1E3NIB0	pku|A0A099NWS0	bin|A0A1E3R083	mbi|A0A1A0HJ91	mgu|A5DPA4	dha|Q6BV70	pic|A3LT69	spa|G3AU62	wan|A0A1E3NY47	cut|A0A1E4S7F0	hva|A0A1B7TKF7	kla|Q6CP75	lth|C5DE40	zro|C5DQY3	sce|P0CX41;sce|P0CX42	vpo|A7TI30
FOG00035	HOG00023	paralog?:FOG00034	rgm|A0A0P9GZP1	sai|UPI000866F4C7	spo|O94292	ncr|Q7SBJ8	tre|G0RSS3	ang|A2QZ74	lst|A0A1E3Q868	yli|Q6C1C3	arx|A0A060TB73	nfu|A0A1E3PGV0	aru|A0A1D2VSB2	pta|A0A1E4TQP6	ppa|C4R634	kcp|W6MXF4	car|A0A1E4T2Z9	opm|W1QCI8	dbx|Dekbr2_48016	pme|A0A1E3NTT2	pku|A9YUC5	bin|A0A1E3QX33	mbi|A0A1A0H7H6	mgu|A5DEI1	dha|Q6BWL9	pic|A3LWK9	spa|G3AN57	wan|A0A1E3NU76	cut|A0A1E4S929	hva|A0A1B7TIZ5	kla|Q6CXN6	lth|C5DKH5	zro|C5E170	sce|P35996	vpo|A7TFI8
FOG00036	HOG00024		rgm|A0A0P9EDW6	sai|UPI0008676497	spo|O74884;spo|Q92354	ncr|Q7SDU2	tre|G0RAK8	ang|A2R095	lst|A0A1E3Q5M8	yli|Q6C4U6	arx|A0A060T4E5	nfu|A0A1E3PJL5;nfu|A0A1E3PPB9	aru|A0A1D2VQI0	pta|A0A1E4TZS0	ppa|C4QZL3	kcp|W6MPY0	car|A0A1E4SVH7	opm|W1Q851	dbx|Dekbr2_51377	pme|A0A1E3NJV3	pku|A0A099P162	bin|A0A1E3QHK4	mbi|A0A1A0H5L2	mgu|A5DHP6	dha|Q6BNC2	pic|A3LS71	spa|G3AE10	wan|A0A1E3P5P7	cut|A0A1E4S4E6	hva|A0A1B7TIR8	kla|P38665	lth|C5E307	zro|C5E039	sce|P04449;sce|P24000	vpo|A7TNH7
